Establishment_ID,Region,Size_Category,Screener_Employees,ISIC_Rev4_Code,ISIC_Division,Manufacturing_Subsector,Year_Started,Manager_Experience_Years,Survey_Weight_Median,Annual_Sales_2024_UGX,Annual_Sales_2022_UGX,Capacity_Utilization_Pct,Permanent_FT_Employees_2024,Permanent_FT_Employees_2022,Labor_Cost_2024_UGX,Raw_Materials_Cost_2024_UGX,Machinery_Replacement_Value_UGX,Direct_Exports_Pct,Monitors_Performance_Indicators,Introduced_New_Product_Service,Introduced_Improved_Process,Working_Capital_Internal_Pct,Working_Capital_Bank_Pct,Working_Capital_Supplier_Credit_Pct,Purchased_Fixed_Assets,Equipment_Investment_Raw_UGX,Has_Financial_Institution_Loan,Applied_For_Loan_2024,Experienced_Power_Outages,Power_Outages_Per_Month_Raw,Electricity_Obstacle,Access_to_Finance_Obstacle,Workforce_Skills_Obstacle,Informal_Competition_Obstacle,Biggest_Obstacle,Figures_Response_Quality,Establishment_Age_Years,Equipment_Investment_UGX,Power_Outages_Per_Month,Direct_Exporter,Sales_Growth_2022_2024_Pct,Sales_CAGR_2022_2024_Pct,Employment_Growth_2022_2024_Pct,Sales_per_Employee_UGX,Labor_Cost_Pct_of_Sales,Raw_Materials_Cost_Pct_of_Sales,Machinery_Value_per_Employee_UGX,Equipment_Investment_Pct_of_Sales,Sales_Outlier_Flag,Firm_Age_Band,Performance_Group
1614176,Central,Large,100,3100,31,Manufacture of furniture,1987,30,2.689,15000000000,10000000000,40.0,40,35,2000000000,500000000,4000000000,0.0,No,No,No,100.0,0.0,0.0,No,\N,No,No,No,\N,No obstacle,Minor obstacle,No obstacle,Moderate obstacle,Practices of competitors in the informal sector,Are in some case taken from books and in some case estimates,37,0,0,No,50.0,22.5,14.3,375000000,13.3,3.3,100000000,0.0,Review,30+ years,Middle
1614178,Central,Large,10,2599,25,Manufacture of fabricated metal products,1984,41,1.000,30000000,40000000,85.0,7,10,4000000,13000000,35000000,0.0,Not asked (survey skip: screener employment <20),Yes,No,70.0,30.0,0.0,No,\N,Yes,No,Yes,3.0,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Tax rates,Are taken directly from establishment records,40,0,3,No,-25.0,-13.4,-30.0,4285714,13.3,43.3,5000000,0.0,Normal,30+ years,Low Growth
1614179,Central,Large,94,2395,23,Manufacture of other non-metallic mineral products,2004,20,1.523,2000000000,1600000000,76.0,92,76,\N,500000000,1800000000,0.0,Yes,Yes,Yes,100.0,0.0,0.0,Yes,1800000000,No,No,Yes,10.0,Major obstacle,Minor obstacle,No obstacle,Moderate obstacle,Electricity,Are taken directly from establishment records,20,1800000000,10,No,25.0,11.8,21.1,21739130,\N,25.0,19565217,90.0,Normal,20-29 years,Middle
1614180,Western,Medium,30,1071,10,Manufacture of food products,2000,30,1.903,800000000,760000000,10.0,25,27,30000000,450000000,400000000,0.0,Yes,Yes,Yes,70.0,0.0,30.0,Yes,200000000,No,No,Yes,0.0,Moderate obstacle,Moderate obstacle,Major obstacle,Moderate obstacle,Corruption,Are estimates computed with some precision,24,200000000,0,No,5.3,2.6,-7.4,32000000,3.8,56.3,16000000,25.0,Normal,20-29 years,Low Growth
1614182,Central,Small,15,2819,28,Manufacture of machinery and equipment n.e.c.,2001,15,143.618,\N,\N,60.0,20,15,\N,\N,\N,0.0,Not asked (survey skip: screener employment <20),No,No,100.0,0.0,0.0,Yes,0,No,No,Yes,8.0,Very severe obstacle,Very severe obstacle,No obstacle,Very severe obstacle,Access to finance,Are arbitrary and unreliable numbers,23,0,8,No,\N,\N,33.3,\N,\N,\N,\N,\N,Normal,20-29 years,Missing
1614183,Western,Medium,12,1071,10,Manufacture of food products,2015,10,1.524,217920000,\N,2.0,12,24,36950400,172800000,6000000,0.0,Not asked (survey skip: screener employment <20),Yes,Yes,80.0,0.0,20.0,No,\N,No,No,Yes,4.0,Minor obstacle,Very severe obstacle,No obstacle,No obstacle,Access to finance,Are estimates computed with some precision,9,0,4,No,\N,\N,-50.0,18160000,17.0,79.3,500000,0.0,Normal,<10 years,Missing
1614185,Central,Small,7,1811,18,Printing and reproduction of recorded media,2000,14,157.867,30000000,20000000,90.0,8,2,10000000,15000000,40000000,0.0,Not asked (survey skip: screener employment <20),No,No,20.0,0.0,70.0,No,\N,No,No,No,\N,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,Tax rates,Are in some case taken from books and in some case estimates,24,0,0,No,50.0,22.5,300.0,3750000,33.3,50.0,5000000,0.0,Normal,20-29 years,Middle
1614193,Eastern,Large,300,1061,10,Manufacture of food products,2009,30,1.000,1200000000,1000000000,60.0,300,250,200000000,500000000,600000000,30.0,Yes,No,Yes,60.0,40.0,0.0,No,\N,No,No,Yes,2.0,Moderate obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Tax rates,Are in some case taken from books and in some case estimates,15,0,2,Yes,20.0,9.5,20.0,4000000,16.7,41.7,2000000,0.0,Normal,10-19 years,Middle
1614202,Western,Small,5,2511,25,Manufacture of fabricated metal products,1996,40,68.626,12000000,\N,\N,5,6,\N,\N,2500000,0.0,Not asked (survey skip: screener employment <20),Yes,No,20.0,0.0,80.0,No,\N,No,No,\N,\N,Major obstacle,Moderate obstacle,Minor obstacle,Major obstacle,"Crime, theft and disorder",Are estimates computed with some precision,28,0,\N,No,\N,\N,-16.7,2400000,\N,\N,500000,0.0,Normal,20-29 years,Missing
1614203,Central,Large,55,2599,25,Manufacture of fabricated metal products,1956,50,1.000,750000000,500000000,65.0,53,65,50000000,300000000,350000000,0.0,Yes,Yes,No,70.0,0.0,0.0,No,\N,No,No,Yes,4.0,Moderate obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Tax rates,Are taken directly from establishment records,68,0,4,No,50.0,22.5,-18.5,14150943,6.7,40.0,6603774,0.0,Normal,30+ years,Middle
